pi_rx_time_ns,topic,type,node,protocol,exp,t_local_us,bus_v,current_mA,power_mW,wifi_rssi,mqtt_retain,pipeline_version
1776142592141700000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,69763473,5.04375,64,324.8855,-28,0,0.2.1
1776142592550989000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,70163506,5.05,64,324.8855,-28,0,0.2.1
1776142592741777000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,70363492,5.045,64.09771,320,-28,0,0.2.1
1776142592941738000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,70563473,5.045,64,324.8855,-28,0,0.2.1
1776142593141732000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,70763483,5.0425,64,324.8855,-28,0,0.2.1
1776142594145269000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,71763485,5.04375,64,320,-28,0,0.2.1
1776142594243599000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,71863494,5.04625,64,324.8855,-28,0,0.2.1
1776142597441770000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,75063469,5.0425,64.87939,320,-28,0,0.2.1
1776142601147692000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,78763438,5.04,65.07481,320,-29,0,0.2.1
1776142603146272000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,80763517,5.04125,64.87939,320,-29,0,0.2.1
1776142604741635000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,82363451,4.92625,64.9771,320,-29,0,0.2.1
1776142609042084000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,86663445,4.98125,64.48855,320,-28,0,0.2.1
1776142612943834000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,90563523,5.0425,64,324.8855,-28,0,0.2.1
1776142613948036000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,91563449,5.045,64,324.8855,-28,0,0.2.1
1776142614941349000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,92563506,5.04375,64,324.8855,-28,0,0.2.1
1776142615942743000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,93563523,5.04375,64,324.8855,-28,0,0.2.1
