pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1776142563242916000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,40,periodic,40875912,-28,,,,,,,0,0.2.1
1776142564245239000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,41,periodic,41875895,-28,,,,,,,0,0.2.1
1776142565243897000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,42,periodic,42875930,-28,,,,,,,0,0.2.1
1776142566242879000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,43,periodic,43875904,-28,,,,,,,0,0.2.1
1776142567243042000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,44,periodic,44875928,-28,,,,,,,0,0.2.1
1776142568242938000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,45,periodic,45875886,-28,,,,,,,0,0.2.1
1776142569287470000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,46,periodic,46876798,-28,,,,,,,0,0.2.1
1776142570247919000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,47,periodic,47876761,-28,,,,,,,0,0.2.1
1776142571250961000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,48,periodic,48876680,-28,,,,,,,0,0.2.1
1776142572243251000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,49,periodic,49875148,-28,,,,,,,0,0.2.1
1776142573241778000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,50,periodic,50875184,-28,,,,,,,0,0.2.1
1776142574241996000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,51,periodic,51875334,-28,,,,,,,0,0.2.1
1776142575245101000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,52,periodic,52876091,-28,,,,,,,0,0.2.1
1776142576245282000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,53,periodic,53876847,-28,,,,,,,0,0.2.1
1776142577243088000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,54,periodic,54876041,-28,,,,,,,0,0.2.1
1776142578249157000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,55,periodic,55875886,-27,,,,,,,0,0.2.1
1776142579243206000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,56,periodic,56875893,-28,,,,,,,0,0.2.1
1776142580243233000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,57,periodic,57875955,-28,,,,,,,0,0.2.1
1776142581243120000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,58,periodic,58875909,-28,,,,,,,0,0.2.1
1776142582243207000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,59,periodic,59875943,-28,,,,,,,0,0.2.1
1776142583243261000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,60,periodic,60875948,-28,,,,,,,0,0.2.1
1776142584246884000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,61,periodic,61875908,-28,,,,,,,0,0.2.1
1776142585243185000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,62,periodic,62875878,-28,,,,,,,0,0.2.1
1776142586243142000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,63,periodic,63875879,-28,,,,,,,0,0.2.1
1776142587244722000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,64,periodic,64875883,-28,,,,,,,0,0.2.1
1776142588244449000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,65,periodic,65875864,-28,,,,,,,0,0.2.1
