type,seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi
power_sample,173,W2_wifi_periodic_1s_quiet_ctrl_v1,19480473,5.051250,6.105000,64.195419,307.786255,-24
power_sample,174,W2_wifi_periodic_1s_quiet_ctrl_v1,19580436,5.050000,5.085000,64.195419,324.885498,-24
power_sample,175,W2_wifi_periodic_1s_quiet_ctrl_v1,19680414,5.052500,5.030000,64.195419,324.885498,-24
power_sample,176,W2_wifi_periodic_1s_quiet_ctrl_v1,19780435,5.050000,5.632500,64.195419,324.885498,-24
power_sample,177,W2_wifi_periodic_1s_quiet_ctrl_v1,19880473,5.050000,5.085000,64.293121,324.885498,-24
power_sample,178,W2_wifi_periodic_1s_quiet_ctrl_v1,19980461,5.051250,5.077500,64.195419,324.885498,-23
power_sample,179,W2_wifi_periodic_1s_quiet_ctrl_v1,20080473,5.050000,5.375000,64.195419,324.885498,-23
power_sample,180,W2_wifi_periodic_1s_quiet_ctrl_v1,20180417,5.051250,6.122500,64.293121,312.671753,-24
power_sample,181,W2_wifi_periodic_1s_quiet_ctrl_v1,20280449,4.898750,4.857500,111.096184,559.389282,-24
power_sample,182,W2_wifi_periodic_1s_quiet_ctrl_v1,20380461,5.050000,4.905000,64.195419,324.885498,-25
power_sample,183,W2_wifi_periodic_1s_quiet_ctrl_v1,20480414,5.050000,5.685000,64.195419,324.885498,-24
power_sample,184,W2_wifi_periodic_1s_quiet_ctrl_v1,20580450,5.050000,13.355000,64.195419,320.000000,-23
power_sample,185,W2_wifi_periodic_1s_quiet_ctrl_v1,20680414,5.050000,5.032500,64.195419,324.885498,-24
power_sample,186,W2_wifi_periodic_1s_quiet_ctrl_v1,20780458,5.050000,5.465000,64.390839,324.885498,-24
power_sample,187,W2_wifi_periodic_1s_quiet_ctrl_v1,20880489,5.050000,6.380000,64.195419,324.885498,-24
power_sample,188,W2_wifi_periodic_1s_quiet_ctrl_v1,20980425,5.050000,4.927500,64.195419,324.885498,-24
power_sample,189,W2_wifi_periodic_1s_quiet_ctrl_v1,21080414,5.050000,4.970000,64.195419,324.885498,-24
power_sample,190,W2_wifi_periodic_1s_quiet_ctrl_v1,21180417,5.050000,5.795000,64.195419,324.885498,-23
power_sample,191,W2_wifi_periodic_1s_quiet_ctrl_v1,21280447,5.025000,4.972500,134.741974,324.885498,-25
power_sample,192,W2_wifi_periodic_1s_quiet_ctrl_v1,21380461,5.053750,5.045000,64.195419,324.885498,-24
power_sample,193,W2_wifi_periodic_1s_quiet_ctrl_v1,21480455,5.050000,5.647500,64.195419,324.885498,-25
power_sample,194,W2_wifi_periodic_1s_quiet_ctrl_v1,21580466,5.040000,14.639999,64.195419,720.610657,-24
power_sample,195,W2_wifi_periodic_1s_quiet_ctrl_v1,21680414,5.051250,5.007500,64.097710,324.885498,-26
power_sample,196,W2_wifi_periodic_1s_quiet_ctrl_v1,21780435,5.050000,5.150000,64.097710,324.885498,-25
power_sample,197,W2_wifi_periodic_1s_quiet_ctrl_v1,21880455,5.050000,6.025000,64.195419,305.343506,-25
power_sample,198,W2_wifi_periodic_1s_quiet_ctrl_v1,21980410,5.050000,5.035000,64.195419,324.885498,-25
power_sample,199,W2_wifi_periodic_1s_quiet_ctrl_v1,22080455,5.051250,5.045000,64.097710,324.885498,-26
power_sample,200,W2_wifi_periodic_1s_quiet_ctrl_v1,22180458,5.050000,5.635000,64.195419,324.885498,-26
power_sample,201,W2_wifi_periodic_1s_quiet_ctrl_v1,22280461,5.047500,6.415000,64.195419,324.885498,-25
power_sample,202,W2_wifi_periodic_1s_quiet_ctrl_v1,22380481,5.050000,5.105000,64.195419,324.885498,-24
power_sample,203,W2_wifi_periodic_1s_quiet_ctrl_v1,22480431,5.050000,5.292500,64.195419,324.885498,-25
power_sample,204,W2_wifi_periodic_1s_quiet_ctrl_v1,22580435,4.888750,14.440000,124.482437,708.396912,-25
power_sample,205,W2_wifi_periodic_1s_quiet_ctrl_v1,22680414,5.051250,5.050000,64.195419,324.885498,-24
power_sample,206,W2_wifi_periodic_1s_quiet_ctrl_v1,22780435,5.051250,4.907500,64.195419,324.885498,-26
power_sample,207,W2_wifi_periodic_1s_quiet_ctrl_v1,22880473,5.048750,5.727500,64.195419,324.885498,-26
power_sample,208,W2_wifi_periodic_1s_quiet_ctrl_v1,22980458,5.051250,5.082500,64.195419,324.885498,-26
power_sample,209,W2_wifi_periodic_1s_quiet_ctrl_v1,23080431,5.051250,5.090000,64.097710,324.885498,-26
power_sample,210,W2_wifi_periodic_1s_quiet_ctrl_v1,23180476,5.051250,5.395000,64.195419,324.885498,-27
power_sample,211,W2_wifi_periodic_1s_quiet_ctrl_v1,23280442,5.050000,6.237500,64.195419,315.114502,-26
power_sample,212,W2_wifi_periodic_1s_quiet_ctrl_v1,23380481,5.050000,4.930000,64.293121,324.885498,-26
power_sample,213,W2_wifi_periodic_1s_quiet_ctrl_v1,23480473,5.050000,4.995000,64.195419,324.885498,-26
power_sample,214,W2_wifi_periodic_1s_quiet_ctrl_v1,23580481,4.893750,13.240000,147.639694,725.496155,-26
power_sample,215,W2_wifi_periodic_1s_quiet_ctrl_v1,23680455,5.051250,5.010000,64.195419,324.885498,-27
power_sample,216,W2_wifi_periodic_1s_quiet_ctrl_v1,23780492,5.052500,5.052500,64.195419,324.885498,-26
power_sample,217,W2_wifi_periodic_1s_quiet_ctrl_v1,23880414,5.048750,5.447500,64.390839,324.885498,-26
power_sample,218,W2_wifi_periodic_1s_quiet_ctrl_v1,23980458,5.051250,6.385000,64.195419,324.885498,-27
power_sample,219,W2_wifi_periodic_1s_quiet_ctrl_v1,24080455,5.048750,5.012500,64.195419,324.885498,-27
power_sample,220,W2_wifi_periodic_1s_quiet_ctrl_v1,24180476,5.050000,5.087500,64.195419,324.885498,-25
power_sample,221,W2_wifi_periodic_1s_quiet_ctrl_v1,24280455,5.050000,5.927500,64.195419,324.885498,-25
power_sample,222,W2_wifi_periodic_1s_quiet_ctrl_v1,24380461,5.050000,5.055000,64.195419,324.885498,-24
power_sample,223,W2_wifi_periodic_1s_quiet_ctrl_v1,24480431,5.053750,5.077500,64.097710,324.885498,-24
power_sample,224,W2_wifi_periodic_1s_quiet_ctrl_v1,24580477,4.898750,7.960000,138.748077,681.526733,-24
power_sample,225,W2_wifi_periodic_1s_quiet_ctrl_v1,24680455,5.050000,6.420000,64.195419,324.885498,-24
power_sample,226,W2_wifi_periodic_1s_quiet_ctrl_v1,24780476,5.050000,5.085000,64.195419,324.885498,-23
power_sample,227,W2_wifi_periodic_1s_quiet_ctrl_v1,24880510,5.050000,5.335000,64.195419,324.885498,-23
power_sample,228,W2_wifi_periodic_1s_quiet_ctrl_v1,24980476,5.052500,6.110000,64.097710,307.786255,-24
power_sample,229,W2_wifi_periodic_1s_quiet_ctrl_v1,25080414,5.051250,5.110000,64.195419,324.885498,-24
