pi_rx_time_ns,topic,type,node,protocol,exp,t_local_us,bus_v,current_mA,power_mW,wifi_rssi,mqtt_retain,pipeline_version
1776100485439186000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,14908477,5.04375,65.36794,332.2137,-27,0,0.2.1
1776100485538663000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,15008478,5.0425,65.36794,327.3282,-28,0,0.2.1
1776100485640303000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,15108479,5.04375,65.36794,327.3282,-28,0,0.2.1
1776100485738315000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,15208495,5.0425,65.27023,332.2137,-27,0,0.2.1
1776100485855175000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,15308528,4.8875,143.4382,701.0687,-28,0,0.2.1
1776100485942800000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,15408489,4.88375,144.513,703.5114,-28,0,0.2.1
1776100486043312000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,15508542,5.0425,65.36794,332.2137,-28,0,0.2.1
1776100486138524000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,15608528,5.04375,74.9435,368.855,-28,0,0.2.1
1776100486238510000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,15708507,5.04375,65.36794,327.3282,-26,0,0.2.1
1776100486338311000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,15808468,5.0425,65.36794,315.1145,-27,0,0.2.1
1776100486438553000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,15908523,5.0425,65.46564,332.2137,-27,0,0.2.1
1776100486538475000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,16008506,5.04375,65.36794,327.3282,-27,0,0.2.1
1776100486638524000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,16108511,5.0425,65.36794,327.3282,-27,0,0.2.1
1776100486743606000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,16208495,5.04375,65.46564,332.2137,-28,0,0.2.1
1776100486838484000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,16308487,5.04625,65.36794,327.3282,-27,0,0.2.1
1776100486940749000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,16408493,5.0425,65.46564,327.3282,-28,0,0.2.1
1776100487039881000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,16508496,5.0425,65.36794,327.3282,-27,0,0.2.1
1776100487138644000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,16608533,4.9525,148.226,725.4962,-28,0,0.2.1
1776100487238553000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,16708542,5.0425,65.36794,327.3282,-28,0,0.2.1
1776100487338439000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,16808495,5.0425,65.36794,312.6718,-28,0,0.2.1
1776100487438510000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,16908511,5.04375,65.27023,332.2137,-27,0,0.2.1
1776100487538503000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,17008457,5.04375,65.27023,327.3282,-28,0,0.2.1
1776100487638257000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,17109243,5.0425,65.36794,320,-28,0,0.2.1
1776100487739295000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,17208501,4.86625,149.3008,725.4962,-28,0,0.2.1
1776100487838464000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,17308509,4.885,144.1221,715.7252,-28,0,0.2.1
1776100487938482000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,17408474,5.04375,65.36794,327.3282,-27,0,0.2.1
1776100488038680000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,17508521,5.0425,65.36794,324.8855,-27,0,0.2.1
1776100488138696000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,17608504,4.87875,145.0992,713.2824,-27,0,0.2.1
1776100488238545000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,17708469,5.04375,65.27023,327.3282,-28,0,0.2.1
1776100488338568000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,17808505,5.0425,65.27023,305.3435,-27,0,0.2.1
1776100488438608000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,17908469,5.0425,64.9771,327.3282,-28,0,0.2.1
1776100488538617000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,18008492,5.0475,65.17252,327.3282,-26,0,0.2.1
1776100488638370000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,18108480,5.04375,65.27023,327.3282,-28,0,0.2.1
1776100488740526000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,18208512,5.045,65.36794,327.3282,-28,0,0.2.1
