type,seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi
power_sample,178,W2_wifi_idle_quiet_ctrl_v1,19980502,5.047500,5.535000,65.074806,327.328247,-24
power_sample,179,W2_wifi_idle_quiet_ctrl_v1,20080424,5.050000,6.302500,64.977097,320.000000,-23
power_sample,180,W2_wifi_idle_quiet_ctrl_v1,20180470,5.048750,5.042500,65.270226,332.213715,-24
power_sample,181,W2_wifi_idle_quiet_ctrl_v1,20280441,4.998750,5.110000,144.122131,720.610657,-23
power_sample,182,W2_wifi_idle_quiet_ctrl_v1,20380503,5.047500,6.042500,65.074806,307.786255,-23
power_sample,183,W2_wifi_idle_quiet_ctrl_v1,20480476,5.048750,5.125000,65.172516,327.328247,-23
power_sample,184,W2_wifi_idle_quiet_ctrl_v1,20580468,4.916250,13.530000,66.735870,327.328247,-23
power_sample,185,W2_wifi_idle_quiet_ctrl_v1,20680482,5.048750,5.745000,65.074806,327.328247,-24
power_sample,186,W2_wifi_idle_quiet_ctrl_v1,20780449,5.048750,6.507500,65.074806,332.213715,-24
power_sample,187,W2_wifi_idle_quiet_ctrl_v1,20880502,5.048750,5.222500,65.074806,327.328247,-24
power_sample,188,W2_wifi_idle_quiet_ctrl_v1,20980499,5.047500,5.455000,65.172516,327.328247,-24
power_sample,189,W2_wifi_idle_quiet_ctrl_v1,21080445,5.047500,6.195000,64.879387,315.114502,-24
power_sample,190,W2_wifi_idle_quiet_ctrl_v1,21180476,5.047500,4.940000,65.172516,327.328247,-24
power_sample,191,W2_wifi_idle_quiet_ctrl_v1,21280424,5.047500,4.950000,65.172516,327.328247,-23
power_sample,192,W2_wifi_idle_quiet_ctrl_v1,21380454,5.048750,5.840000,65.074806,327.328247,-24
power_sample,193,W2_wifi_idle_quiet_ctrl_v1,21480444,5.047500,5.105000,64.977097,327.328247,-24
power_sample,194,W2_wifi_idle_quiet_ctrl_v1,21580501,4.885000,12.825000,148.030533,725.496155,-25
power_sample,195,W2_wifi_idle_quiet_ctrl_v1,21680424,5.048750,5.615000,65.367935,327.328247,-23
power_sample,196,W2_wifi_idle_quiet_ctrl_v1,21780502,5.048750,6.495000,65.074806,327.328247,-24
power_sample,197,W2_wifi_idle_quiet_ctrl_v1,21880452,5.048750,5.102500,65.074806,327.328247,-24
power_sample,198,W2_wifi_idle_quiet_ctrl_v1,21980425,5.047500,5.202500,64.977097,327.328247,-25
power_sample,199,W2_wifi_idle_quiet_ctrl_v1,22080497,5.047500,6.197500,65.172516,315.114502,-24
power_sample,200,W2_wifi_idle_quiet_ctrl_v1,22180446,5.048750,5.170000,65.074806,327.328247,-25
power_sample,201,W2_wifi_idle_quiet_ctrl_v1,22280449,5.048750,5.055000,65.074806,327.328247,-23
power_sample,202,W2_wifi_idle_quiet_ctrl_v1,22380502,5.048750,5.857500,65.074806,327.328247,-25
power_sample,203,W2_wifi_idle_quiet_ctrl_v1,22480469,5.047500,5.160000,65.172516,332.213715,-25
power_sample,204,W2_wifi_idle_quiet_ctrl_v1,22580482,4.885000,12.585000,143.829010,703.511414,-25
power_sample,205,W2_wifi_idle_quiet_ctrl_v1,22680484,5.048750,5.602500,65.074806,327.328247,-25
power_sample,206,W2_wifi_idle_quiet_ctrl_v1,22780433,5.047500,6.352500,65.074806,324.885498,-25
power_sample,207,W2_wifi_idle_quiet_ctrl_v1,22880501,5.048750,5.095000,65.172516,327.328247,-24
power_sample,208,W2_wifi_idle_quiet_ctrl_v1,22980502,5.048750,5.192500,65.074806,327.328247,-25
power_sample,209,W2_wifi_idle_quiet_ctrl_v1,23080424,5.047500,5.952500,65.074806,327.328247,-25
power_sample,210,W2_wifi_idle_quiet_ctrl_v1,23180464,5.048750,5.105000,65.270226,332.213715,-25
power_sample,211,W2_wifi_idle_quiet_ctrl_v1,23280484,5.050000,5.130000,65.172516,327.328247,-25
power_sample,212,W2_wifi_idle_quiet_ctrl_v1,23380433,5.047500,5.757500,65.074806,327.328247,-30
power_sample,213,W2_wifi_idle_quiet_ctrl_v1,23480502,5.048750,6.542500,65.172516,332.213715,-24
power_sample,214,W2_wifi_idle_quiet_ctrl_v1,23580503,4.891250,5.222500,140.213730,688.854919,-25
power_sample,215,W2_wifi_idle_quiet_ctrl_v1,23680463,5.048750,5.415000,65.270226,327.328247,-24
power_sample,216,W2_wifi_idle_quiet_ctrl_v1,23780433,5.048750,6.230000,65.172516,315.114502,-23
power_sample,217,W2_wifi_idle_quiet_ctrl_v1,23880488,5.048750,6.312500,65.661064,332.213715,-24
power_sample,218,W2_wifi_idle_quiet_ctrl_v1,23980451,5.047500,4.945000,65.367935,327.328247,-24
power_sample,219,W2_wifi_idle_quiet_ctrl_v1,24080448,5.047500,5.835000,65.270226,327.328247,-24
power_sample,220,W2_wifi_idle_quiet_ctrl_v1,24180482,5.048750,4.970000,65.172516,332.213715,-25
power_sample,221,W2_wifi_idle_quiet_ctrl_v1,24280490,5.051250,5.090000,65.367935,332.213715,-24
power_sample,222,W2_wifi_idle_quiet_ctrl_v1,24380464,5.048750,5.697500,65.367935,327.328247,-25
power_sample,223,W2_wifi_idle_quiet_ctrl_v1,24480502,5.048750,6.477500,65.270226,327.328247,-25
power_sample,224,W2_wifi_idle_quiet_ctrl_v1,24580489,4.895000,5.050000,140.116028,696.183228,-25
power_sample,225,W2_wifi_idle_quiet_ctrl_v1,24680421,5.047500,5.225000,65.367935,327.328247,-24
power_sample,226,W2_wifi_idle_quiet_ctrl_v1,24780470,5.047500,6.140000,65.367935,312.671753,-25
power_sample,227,W2_wifi_idle_quiet_ctrl_v1,24880471,5.048750,13.275000,64.879387,320.000000,-25
power_sample,228,W2_wifi_idle_quiet_ctrl_v1,24980445,5.048750,4.912500,65.172516,327.328247,-25
power_sample,229,W2_wifi_idle_quiet_ctrl_v1,25080421,5.048750,5.670000,65.367935,327.328247,-24
power_sample,230,W2_wifi_idle_quiet_ctrl_v1,25180459,5.048750,5.065000,65.367935,327.328247,-25
power_sample,231,W2_wifi_idle_quiet_ctrl_v1,25280497,5.055000,4.957500,64.879387,327.328247,-24
power_sample,232,W2_wifi_idle_quiet_ctrl_v1,25380449,5.048750,5.435000,65.465645,332.213715,-24
power_sample,233,W2_wifi_idle_quiet_ctrl_v1,25480425,5.050000,6.330000,65.367935,320.000000,-23
power_sample,234,W2_wifi_idle_quiet_ctrl_v1,25580473,5.033750,4.995000,64.781670,327.328247,-24
power_sample,235,W2_wifi_idle_quiet_ctrl_v1,25680481,5.048750,5.130000,64.977097,327.328247,-24
power_sample,236,W2_wifi_idle_quiet_ctrl_v1,25780449,5.048750,5.972500,65.270226,305.343506,-24
power_sample,237,W2_wifi_idle_quiet_ctrl_v1,25880442,5.025000,12.917500,148.714493,727.938904,-24
power_sample,238,W2_wifi_idle_quiet_ctrl_v1,25980415,5.052500,5.080000,64.488548,324.885498,-23
power_sample,239,W2_wifi_idle_quiet_ctrl_v1,26080463,5.050000,5.610000,64.977097,327.328247,-24
